ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	log2err
CC	GO:0031332	RNAi effector complex	236	-0.58002440634594	-2.58764329520674	1e-10	2.08825e-07	2.08825e-07	9238	tags=54%, list=21%, signal=43%	ENSG00000199017/ENSG00000265142/ENSG00000199051/ENSG00000283899/ENSG00000199179/ENSG00000283785/ENSG00000199024/ENSG00000207736/ENSG00000207963/ENSG00000207695/ENSG00000194717/ENSG00000208006/ENSG00000199121/ENSG00000208009/ENSG00000198997/ENSG00000151247/ENSG00000199177/ENSG00000198987/ENSG00000207782/ENSG00000199172/ENSG00000199153/ENSG00000221540/ENSG00000199038/ENSG00000207563/ENSG00000207870/ENSG00000207600/ENSG00000199025/ENSG00000199035/ENSG00000207863/ENSG00000207947/ENSG00000207971/ENSG00000207759/ENSG00000202609/ENSG00000207595/ENSG00000199075/ENSG00000207789/ENSG00000207611/ENSG00000199036/ENSG00000207816/ENSG00000207582/ENSG00000207598/ENSG00000199053/ENSG00000198974/ENSG00000207932/ENSG00000207978/ENSG00000207737/ENSG00000207624/ENSG00000199001/ENSG00000207933/ENSG00000284329/ENSG00000207647/ENSG00000199102/ENSG00000199122/ENSG00000207743/ENSG00000199161/ENSG00000272036/ENSG00000199080/ENSG00000215957/ENSG00000207705/ENSG00000207754/ENSG00000211514/ENSG00000207725/ENSG00000207633/ENSG00000207960/ENSG00000207627/ENSG00000207613/ENSG00000199059/ENSG00000207547/ENSG00000207839/ENSG00000207993/ENSG00000207587/ENSG00000207761/ENSG00000207656/ENSG00000207769/ENSG00000207646/ENSG00000208017/ENSG00000199082/ENSG00000207762/ENSG00000208022/ENSG00000207797/ENSG00000207962/ENSG00000199069/ENSG00000207935/ENSG00000212024/ENSG00000207821/ENSG00000257381/ENSG00000207607/ENSG00000207959/ENSG00000283170/ENSG00000207717/ENSG00000253522/ENSG00000276365/ENSG00000207827/ENSG00000215966/ENSG00000207931/ENSG00000207961/ENSG00000269959/ENSG00000284508/ENSG00000207729/ENSG00000198984/ENSG00000207698/ENSG00000221261/ENSG00000208005/ENSG00000208036/ENSG00000267200/ENSG00000215939/ENSG00000199127/ENSG00000212100/ENSG00000199005/ENSG00000199132/ENSG00000207755/ENSG00000208023/ENSG00000207800/ENSG00000207752/ENSG00000207713/ENSG00000199020/ENSG00000267195/ENSG00000212040/ENSG00000207988/ENSG00000207973/ENSG00000216077/ENSG00000207625/ENSG00000207654/ENSG00000207581/ENSG00000207630/ENSG00000207954/ENSG00000207649/ENSG00000284231	
CC	GO:0016442	RISC complex	235	-0.580320191795984	-2.58267011765001	1e-10	2.08825e-07	2.08825e-07	9238	tags=54%, list=21%, signal=43%	ENSG00000199017/ENSG00000265142/ENSG00000199051/ENSG00000283899/ENSG00000199179/ENSG00000283785/ENSG00000199024/ENSG00000207736/ENSG00000207963/ENSG00000207695/ENSG00000194717/ENSG00000208006/ENSG00000199121/ENSG00000208009/ENSG00000198997/ENSG00000151247/ENSG00000199177/ENSG00000198987/ENSG00000207782/ENSG00000199172/ENSG00000199153/ENSG00000221540/ENSG00000199038/ENSG00000207563/ENSG00000207870/ENSG00000207600/ENSG00000199025/ENSG00000199035/ENSG00000207863/ENSG00000207947/ENSG00000207971/ENSG00000207759/ENSG00000202609/ENSG00000207595/ENSG00000199075/ENSG00000207789/ENSG00000207611/ENSG00000199036/ENSG00000207816/ENSG00000207582/ENSG00000207598/ENSG00000199053/ENSG00000198974/ENSG00000207932/ENSG00000207978/ENSG00000207737/ENSG00000207624/ENSG00000199001/ENSG00000207933/ENSG00000284329/ENSG00000207647/ENSG00000199102/ENSG00000199122/ENSG00000207743/ENSG00000199161/ENSG00000272036/ENSG00000199080/ENSG00000215957/ENSG00000207705/ENSG00000207754/ENSG00000211514/ENSG00000207725/ENSG00000207633/ENSG00000207960/ENSG00000207627/ENSG00000207613/ENSG00000199059/ENSG00000207547/ENSG00000207839/ENSG00000207993/ENSG00000207587/ENSG00000207761/ENSG00000207656/ENSG00000207769/ENSG00000207646/ENSG00000208017/ENSG00000199082/ENSG00000207762/ENSG00000208022/ENSG00000207797/ENSG00000207962/ENSG00000199069/ENSG00000207935/ENSG00000212024/ENSG00000207821/ENSG00000257381/ENSG00000207607/ENSG00000207959/ENSG00000283170/ENSG00000207717/ENSG00000253522/ENSG00000276365/ENSG00000207827/ENSG00000215966/ENSG00000207931/ENSG00000207961/ENSG00000269959/ENSG00000284508/ENSG00000207729/ENSG00000198984/ENSG00000207698/ENSG00000221261/ENSG00000208005/ENSG00000208036/ENSG00000267200/ENSG00000215939/ENSG00000199127/ENSG00000212100/ENSG00000199005/ENSG00000199132/ENSG00000207755/ENSG00000208023/ENSG00000207800/ENSG00000207752/ENSG00000207713/ENSG00000199020/ENSG00000267195/ENSG00000212040/ENSG00000207988/ENSG00000207973/ENSG00000216077/ENSG00000207625/ENSG00000207654/ENSG00000207581/ENSG00000207630/ENSG00000207954/ENSG00000207649/ENSG00000284231	
MF	GO:1990825	sequence-specific mRNA binding	180	-0.568480778288501	-2.45400874410448	1e-10	2.08825e-07	2.08825e-07	8373	tags=53%, list=19%, signal=43%	ENSG00000194717/ENSG00000208006/ENSG00000199121/ENSG00000266052/ENSG00000208009/ENSG00000198997/ENSG00000199177/ENSG00000207782/ENSG00000199153/ENSG00000112183/ENSG00000199038/ENSG00000207870/ENSG00000199035/ENSG00000207947/ENSG00000207971/ENSG00000202609/ENSG00000207595/ENSG00000199075/ENSG00000207611/ENSG00000207997/ENSG00000199036/ENSG00000221120/ENSG00000207582/ENSG00000198974/ENSG00000207932/ENSG00000207978/ENSG00000207624/ENSG00000199001/ENSG00000207933/ENSG00000254324/ENSG00000199088/ENSG00000207647/ENSG00000199102/ENSG00000199122/ENSG00000207975/ENSG00000207743/ENSG00000199161/ENSG00000272036/ENSG00000199080/ENSG00000207705/ENSG00000211580/ENSG00000207754/ENSG00000211514/ENSG00000207725/ENSG00000211582/ENSG00000207633/ENSG00000207613/ENSG00000199059/ENSG00000207547/ENSG00000207839/ENSG00000207993/ENSG00000207587/ENSG00000207761/ENSG00000207646/ENSG00000208017/ENSG00000199082/ENSG00000207797/ENSG00000240563/ENSG00000207962/ENSG00000199069/ENSG00000207935/ENSG00000207821/ENSG00000207934/ENSG00000207607/ENSG00000199168/ENSG00000207626/ENSG00000276365/ENSG00000207827/ENSG00000215966/ENSG00000265867/ENSG00000207938/ENSG00000207805/ENSG00000221463/ENSG00000198984/ENSG00000207698/ENSG00000208005/ENSG00000208036/ENSG00000207651/ENSG00000267200/ENSG00000199047/ENSG00000215939/ENSG00000199127/ENSG00000208023/ENSG00000207752/ENSG00000207713/ENSG00000207989/ENSG00000267195/ENSG00000207639/ENSG00000212040/ENSG00000211583/ENSG00000283871/ENSG00000207654/ENSG00000207581/ENSG00000207954/ENSG00000284231	
MF	GO:1903231	mRNA base-pairing post-transcriptional repressor activity	165	-0.579711287399998	-2.45022214898705	1e-10	2.08825e-07	2.08825e-07	8373	tags=56%, list=19%, signal=46%	ENSG00000194717/ENSG00000208006/ENSG00000199121/ENSG00000266052/ENSG00000208009/ENSG00000198997/ENSG00000199177/ENSG00000207782/ENSG00000199153/ENSG00000199038/ENSG00000207870/ENSG00000199035/ENSG00000207947/ENSG00000207971/ENSG00000202609/ENSG00000207595/ENSG00000199075/ENSG00000207611/ENSG00000207997/ENSG00000199036/ENSG00000221120/ENSG00000207582/ENSG00000198974/ENSG00000207932/ENSG00000207978/ENSG00000207624/ENSG00000199001/ENSG00000207933/ENSG00000254324/ENSG00000199088/ENSG00000207647/ENSG00000199102/ENSG00000199122/ENSG00000207975/ENSG00000207743/ENSG00000199161/ENSG00000272036/ENSG00000199080/ENSG00000207705/ENSG00000211580/ENSG00000207754/ENSG00000211514/ENSG00000207725/ENSG00000211582/ENSG00000207633/ENSG00000207613/ENSG00000199059/ENSG00000207547/ENSG00000207839/ENSG00000207993/ENSG00000207587/ENSG00000207761/ENSG00000207646/ENSG00000208017/ENSG00000199082/ENSG00000207797/ENSG00000207962/ENSG00000199069/ENSG00000207935/ENSG00000207821/ENSG00000207934/ENSG00000207607/ENSG00000199168/ENSG00000207626/ENSG00000276365/ENSG00000207827/ENSG00000215966/ENSG00000265867/ENSG00000207938/ENSG00000207805/ENSG00000221463/ENSG00000198984/ENSG00000207698/ENSG00000208005/ENSG00000208036/ENSG00000207651/ENSG00000267200/ENSG00000199047/ENSG00000215939/ENSG00000199127/ENSG00000208023/ENSG00000207752/ENSG00000207713/ENSG00000207989/ENSG00000267195/ENSG00000207639/ENSG00000212040/ENSG00000211583/ENSG00000283871/ENSG00000207654/ENSG00000207581/ENSG00000207954/ENSG00000284231	
BP	GO:0035279	miRNA-mediated gene silencing by mRNA destabilization	63	-0.628178884751301	-2.29917090995162	2.83243026681494e-08	4.73185800374104e-05	4.73185800374104e-05	10742	tags=63%, list=25%, signal=48%	ENSG00000216135/ENSG00000207811/ENSG00000198995/ENSG00000207757/ENSG00000207609/ENSG00000208027/ENSG00000207864/ENSG00000199017/ENSG00000199121/ENSG00000208009/ENSG00000199038/ENSG00000207971/ENSG00000207595/ENSG00000207611/ENSG00000207582/ENSG00000207933/ENSG00000254324/ENSG00000199102/ENSG00000207975/ENSG00000207743/ENSG00000207613/ENSG00000199059/ENSG00000207587/ENSG00000207761/ENSG00000207646/ENSG00000208017/ENSG00000199082/ENSG00000207935/ENSG00000207626/ENSG00000276365/ENSG00000207805/ENSG00000208036/ENSG00000208023/ENSG00000207713/ENSG00000267195/ENSG00000212040/ENSG00000283871/ENSG00000207654/ENSG00000207581/ENSG00000284231	0.73376198835648
BP	GO:0035278	miRNA-mediated gene silencing by inhibition of translation	71	-0.559865665222251	-2.11478145163956	2.01689102127293e-06	0.00120336362147806	0.00120336362147806	9608	tags=51%, list=22%, signal=40%	ENSG00000207864/ENSG00000199017/ENSG00000199179/ENSG00000283785/ENSG00000208006/ENSG00000199121/ENSG00000198997/ENSG00000199177/ENSG00000199038/ENSG00000207870/ENSG00000199035/ENSG00000207971/ENSG00000207595/ENSG00000207933/ENSG00000199088/ENSG00000199122/ENSG00000207975/ENSG00000207743/ENSG00000199161/ENSG00000199080/ENSG00000207613/ENSG00000199059/ENSG00000207993/ENSG00000207935/ENSG00000276365/ENSG00000207805/ENSG00000198984/ENSG00000208005/ENSG00000208036/ENSG00000207651/ENSG00000267200/ENSG00000199047/ENSG00000207713/ENSG00000267195/ENSG00000207654/ENSG00000207954	0.627256739718528
MF	GO:0160041	neuropeptide activity	26	-0.69176126528953	-2.11442454610943	2.43966917252602e-05	0.00728092990601712	0.00728092990601712	5337	tags=50%, list=12%, signal=44%	ENSG00000133636/ENSG00000175206/ENSG00000101440/ENSG00000168081/ENSG00000006128/ENSG00000187094/ENSG00000164326/ENSG00000163794/ENSG00000141433/ENSG00000146469/ENSG00000241563/ENSG00000128564/ENSG00000147571	0.575610261071129
CC	GO:0000137	Golgi cis cisterna	31	0.656452407543785	2.09171769907086	5.04686327068057e-05	0.0120446996857128	0.0120446996857128	6848	tags=45%, list=16%, signal=38%	ENSG00000167195/ENSG00000215186/ENSG00000159289/ENSG00000140478/ENSG00000179938/ENSG00000206127/ENSG00000261247/ENSG00000178115/ENSG00000186399/ENSG00000188626/ENSG00000232653/ENSG00000261739/ENSG00000249931/ENSG00000261794	0.557332238758646
MF	GO:0005184	neuropeptide hormone activity	24	-0.705098918295962	-2.06575855925441	6.5856659395374e-05	0.0145655473148308	0.0145655473148308	5337	tags=54%, list=12%, signal=48%	ENSG00000133636/ENSG00000175206/ENSG00000101440/ENSG00000168081/ENSG00000006128/ENSG00000187094/ENSG00000164326/ENSG00000163794/ENSG00000141433/ENSG00000146469/ENSG00000241563/ENSG00000128564/ENSG00000147571	0.538434096309916
CC	GO:0019814	immunoglobulin complex	27	0.665354034151007	2.04411192327997	7.10779490156633e-05	0.0148041524857293	0.0148041524857293	7392	tags=48%, list=17%, signal=40%	ENSG00000132465/ENSG00000211645/ENSG00000211899/ENSG00000239819/ENSG00000128218/ENSG00000211632/ENSG00000211653/ENSG00000203896/ENSG00000211893/ENSG00000211897/ENSG00000211892/ENSG00000211956/ENSG00000228325	0.538434096309916
